cpu_id;cpu_name;manufacturer;cores_number;threads_number;min_clock_speed;max_clock_speed;memory
0;Core i7-4765T;Intel;4;8;2;3;8
1;Pentium G3220T;Intel;2;4;2,6;2,6;3
2;AthlonII X2 255;AMD;2;4;3,1;3,1;2
3;Celeron G1620T;Intel;2;4;2,4;2,4;2
4;Ryzen 7 5800X;AMD;8;16;3,8;4,7;32
5;Core i5-2550K;Intel;4;8;3,4;3,8;6
6;Core i3-4160T;Intel;2;4;3,1;3,1;3
7;PRO A10-9700;AMD;4;8;3,5;3,8;2
8;Core i5-7500;Intel;4;8;3,4;3,8;6
9;Core i3-4330T;Intel;2;4;3;3;4
10;Core i5-8600K;Intel;6;12;3,6;4,3;9
11;Core i3-3220;Intel;2;4;3,3;3,3;3
12;Core i5-7400T;Intel;4;8;2,4;3;6
13;Xeon E3-1275L V3;Intel;4;8;2,7;3,9;8
14;Ryzen 3 PRO 1200;AMD;4;8;3,1;3,4;8
15;AthlonII X3 400e;AMD;3;6;2,2;2,2;1,5
16;Core i3-4330T;Intel;2;4;3;3;4
17;Xeon E3-1246 V3;Intel;4;8;3,5;3,9;8
18;Ryzen 3 1300X;AMD;4;8;3,5;3,7;8
19;Phenom II X6 1035T;AMD;6;12;2,6;3,1;6
20;Core i3-8300T;Intel;4;8;3,2;3,2;8
21;Core i7-6700K;Intel;4;8;4;4,2;8
22;Athlon 220GE;AMD;2;4;3,4;3,4;4
23;PhenomII X2 B60;AMD;2;4;3,5;3,5;6
24;Phenom II X4 805;AMD;4;8;2,5;2,5;4
25;Core i3-8300;Intel;4;8;3,7;3,7;8
26;Core i5-2380P;Intel;4;8;3,1;3,4;6
27;Xeon E3-1230 v2;Intel;4;8;3,3;3,7;8
28;Core i7-5775C;Intel;4;8;3,3;3,7;6
29;Core i7-4770;Intel;4;8;3,4;3,9;8
30;Core i3-530;Intel;2;4;2,93;2,93;4
31;AthlonII X4 610e;AMD;4;8;2,4;2,4;2
32;Pentium G4520;Intel;2;4;3,6;3,6;3
33;Xeon E3-1245 v5;Intel;4;8;3,5;3,9;8
34;AthlonII X2 270;AMD;2;4;3,4;3,4;2
35;Ryzen 5 4600G;AMD;6;12;3,7;4,2;8
36;Phenom II X4 945;AMD;4;8;3;3;6
37;Phenom II X4 945;AMD;4;8;3;3;6
38;Ryzen 5 1500X;AMD;4;8;3,5;3,7;16
39;Xeon E3-1270L v4;Intel;4;8;3;3,6;6
40;Core i5-6400T;Intel;4;8;2,2;2,8;6
41;Xeon E3-1265L v2;Intel;4;8;2,5;3,5;8
42;Pentium G860;Intel;2;4;3;3;3
43;Xeon E-2246G;Intel;6;12;3,6;4,8;12
44;Pentium G3460T;Intel;2;4;3;3;3
45;Ryzen 5 3500X;AMD;6;12;3,6;4,1;32
46;Celeron G4930;Intel;2;4;3,2;3,2;2
47;Core i7-4770;Intel;4;8;3,4;3,9;8
48;Xeon E3-1270 v2;Intel;4;8;3,5;3,9;8
49;Core i3-3250T;Intel;2;4;3,0;3,0;3
50;Ryzen 5 2400GE;AMD;4;8;3,2;3,8;4
51;Xeon E3-1220;Intel;4;8;3,1;3,4;8
52;Phenom II X4 965;AMD;4;8;3,4;3,4;6
53;Xeon E-2104G;Intel;4;8;3,2;3,2;8
54;Ryzen 3 2200GE;AMD;4;8;3,2;3,6;4
55;PRO A12-8870E;AMD;4;8;2,9;3,8;2
56;Xeon E-2126G;Intel;6;12;3,3;4,5;12
57;Pentium G3430;Intel;2;4;3,3;3,3;3
58;Core i5-4670K;Intel;4;8;3,4;3,8;6
59;Pentium G1820TE;Intel;2;4;2,2;2,2;2
60;PRO A12-9800E;AMD;4;8;3,1;3,8;2
61;AthlonII X2 220;AMD;2;4;2,8;2,8;1
62;Core i3-3220T;Intel;2;4;2,8;2,8;3
63;Ryzen 5 PRO 3400G;AMD;4;8;3,7;4,2;4
64;Phenom II X4 840T;AMD;4;8;2,9;3,2;6
65;PhenomII X2 565;AMD;2;4;3,4;3,4;6
66;Phenom II X4 810;AMD;4;8;2,6;2,6;4
67;Core i7-870s;Intel;4;8;2,66;3,6;8
68;Core i9-9900K;Intel;8;16;3,6;5;16
69;Xeon E3-1240L V3;Intel;4;8;2;3;8
70;Core i5-2405S;Intel;4;8;2,5;3,3;6
71;Core i5-4430S;Intel;4;8;2,7;3,2;6
72;AthlonII X3 420e;AMD;3;6;2,6;2,6;1,5
73;Core i7-6700K;Intel;4;8;4;4,2;8
74;Athlon Silver 3050GE;AMD;2;4;3,4;3,4;4
75;AthlonII X2 B24;AMD;2;4;3;3;2
76;Xeon E3-1220L v3;Intel;2;4;1,1;1,5;4
77;Xeon E3-1280;Intel;4;8;3,5;3,9;8
78;Core i5-3340;Intel;4;8;3,1;3,3;6
79;Xeon E-2176G;Intel;6;12;3,7;4,7;12
80;Pentium G3440;Intel;2;4;3,3;3,3;3
81;Xeon E3-1265L v3;Intel;4;8;2,5;3,7;8
82;Celeron G465;Intel;1;2;1,9;1,9;1,5
83;AthlonII X2 240e;AMD;2;4;2,8;2,8;2
84;Xeon E-2286G;Intel;6;12;4;4,9;12
85;Pentium G4400;Intel;2;4;3,3;3,3;3
86;Celeron G440;Intel;1;2;1,6;1,6;1
87;Xeon E3-1268L v3;Intel;4;8;2,3;3,3;8
88;Xeon E-2286G;Intel;6;12;4;4,9;12
89;Ryzen 7 1700;AMD;8;16;3;3,7;16
90;Athlon II X4 640;AMD;4;8;3;3;2
91;Xeon E-2278GEL;Intel;8;16;2;3,9;16
92;Athlon PRO 300GE;AMD;2;4;3,4;3,4;4
93;Core i5-4440;Intel;4;8;3,1;3,3;6
94;Phenom II X4 B97;AMD;4;8;3,2;3,2;6
95;Core i3-4130;Intel;2;4;3,4;3,4;3
96;Athlon II X4 615e;AMD;4;8;2,5;2,5;2
97;Sempron X2 180;AMD;2;4;2,4;2,4;1
98;Core i5-4690;Intel;4;8;3,5;3,9;6
99;Core i5-8400T;Intel;6;12;1,7;3,3;9
100;Ryzen 5 3500;AMD;6;12;3,6;4,2;32
101;Ryzen 5 PRO 2400GE;AMD;4;8;3,2;3,8;4
102;Ryzen 5 4600GE;AMD;6;12;3,3;4,2;8
103;Ryzen 3 1200;AMD;4;8;3,1;3,4;8
104;Ryzen 3 3300X;AMD;4;8;3,8;4,3;16
105;Ryzen 7 4700G;AMD;8;16;3,6;4,4;8
106;Core i5-3570T;Intel;4;8;2,3;3,3;6
107;Athlon Gold PRO 3150GE;AMD;4;8;3,3;3,8;4
108;Ryzen 5 2600X;AMD;6;12;3,6;4,2;16
109;PhenomII X2 B59;AMD;2;4;3,4;3,4;6
110;Phenom II X4 945;AMD;4;8;3;3;6
111;Core i5-3570;Intel;4;8;3,4;3,8;6
112;AthlonII X3 400e;AMD;3;6;2,2;2,2;1,5
113;Xeon E3-1265L v3;Intel;4;8;2,5;3,7;8
114;Core i9-9900KS;Intel;8;16;4;5;16
115;AthlonII X2 B28;AMD;2;4;3,4;3,4;2
116;Celeron G4900;Intel;2;4;3,1;3,1;2
117;Core i5-6400T;Intel;4;8;2,2;2,8;6
118;Core i3-4350;Intel;2;4;3,6;3,6;4
119;Core i5-3350P;Intel;4;8;3,1;3,3;6
120;Core i5-2500K;Intel;4;8;3,3;3,7;6
121;Celeron G3950;Intel;2;4;3;3;2
122;Athlon 240GE;AMD;2;4;3,5;3,5;4
123;Xeon X3450;Intel;4;8;2,66;3,2;8
124;Xeon E3-1230;Intel;4;8;3,2;3,6;8
125;Core i5-3475S;Intel;4;8;2,9;3,6;6
126;Xeon E3-1220L v2;Intel;2;4;2,3;3,5;3
127;Ryzen 7 PRO 2700;AMD;8;16;3,2;4,1;16
128;Pentium G3470;Intel;2;4;3,6;3,6;3
129;Core i5-9400T;Intel;6;12;1,8;3,4;9
130;Xeon E3-1275 v6;Intel;4;8;3,8;4,2;8
131;Pentium G6950;Intel;2;4;2,8;2,8;3
132;PhenomII X2 565;AMD;2;4;3,4;3,4;6
133;Core i3-3240T;Intel;2;4;2,9;2,9;3
134;Core i7-2600K;Intel;4;8;3,4;3,8;8
135;Phenom II X4 650T;AMD;4;8;2,7;3,2;4
136;Core i3-4350T;Intel;2;4;3,1;3,1;4
137;Core i7-6700;Intel;4;8;3,4;4;8
138;Celeron G1850;Intel;2;4;2,9;2,9;2
139;Xeon E3-1280 v3;Intel;4;8;3,6;4;8
140;AthlonII X4 605e;AMD;4;8;2,3;2,3;2
141;Opteron 1381;AMD;4;8;2,5;2,5;6
142;Phenom II X6 1090T;AMD;6;12;3,2;3,6;6
143;Ryzen 5 3600XT;AMD;6;12;3,8;4,5;32
144;Core i7-7700T;Intel;4;8;2,9;3,8;8
145;Phenom II X4 975;AMD;4;8;3,6;3,6;6
146;Celeron G4930T;Intel;2;4;3;3;2
147;Core i3-4370T;Intel;2;4;3,3;3,3;4
148;Xeon X3440;Intel;4;8;2,53;2,93;8
149;Pentium G4600T;Intel;2;4;3;3;3
150;Phenom II X4 850;AMD;4;8;3,3;3,3;2
151;Core i3-2120T;Intel;2;4;2,6;2,6;3
152;Core i5-7600K;Intel;4;8;3,8;4,2;6
153;Core i5-2400;Intel;4;8;3,1;3,4;6
154;Xeon E3-1286 V3;Intel;4;8;3,7;4,1;8
155;AthlonII X4 605e;AMD;4;8;2,3;2,3;2
156;Core i3-4160;Intel;2;4;3,6;3,6;3
157;Ryzen 5 3500;AMD;6;12;3,6;4,2;32
158;Xeon E3-1260L;Intel;4;8;2,4;3,3;8
159;Core i7-4790T;Intel;4;8;2,7;3,9;8
160;Pentium Gold G5400;Intel;2;4;3,7;3,7;4
161;AthlonII X2 210e;AMD;2;4;2,6;2,6;1
162;AthlonII X3 425e;AMD;3;6;2,7;2,7;1,5
163;Phenom II X6 1075T;AMD;6;12;3;3,5;6
164;Pentium G2100T;Intel;2;4;2,6;2,6;3
165;Phenom II X4 B95;AMD;4;8;3;3;6
166;Sempron 130;AMD;1;2;2,6;2,6;0,5
167;Core i7-9700T;Intel;8;16;2;4,3;12
168;Ryzen 7 2700E;AMD;8;16;2,8;4;16
169;Athlon Gold 3150G;AMD;4;8;3,5;3,9;4
170;Core i5-750;Intel;4;8;2,66;3,2;8
171;Xeon E3-1220;Intel;4;8;3,1;3,4;8
172;Xeon E3-1268L v3;Intel;4;8;2,3;3,3;8
173;Ryzen 5 2600X;AMD;6;12;3,6;4,2;16
174;Ryzen 7 4700G;AMD;8;16;3,6;4,4;8
175;Pentium G3240;Intel;2;4;3,1;3,1;3
176;Athlon II X2 250u;AMD;2;4;1,6;1,6;2
177;Athlon II X4 630;AMD;4;8;2,8;2,8;2
178;Core i3-9320;Intel;4;8;3,7;4,4;8
179;Pentium G3250T;Intel;2;4;2,8;2,8;3
180;Core i5-6400T;Intel;4;8;2,2;2,8;6
