gpu_id;gpu_name;manufacturer;memory;tgp;computer_id
0;Radeon Vega Frontier Edition Watercooled;AMD;16;12;54694
1;Iris Plus Graphics 640;Intel;0;11;22443
2;GeForce RTX 2080 SUPER;NVIDIA;8;9;51895
3;GeForce GTX 980 Ti;NVIDIA;6;13;11552
4;HD Graphics 3000;Intel;0;5;57780
5;GeForce RTX 3060 Ti GA103;NVIDIA;8;21;87715
6;HD Graphics 5500;Intel;0;17;551
7;GeForce GTX 1070 Ti;NVIDIA;8;5;60395
8;Radeon R9 280X;AMD;3;17;86872
9;GeForce GTX 1650 GDDR6;NVIDIA;4;5;59431
10;GeForce RTX 4050;NVIDIA;8;8;545
11;GeForce GTX 1080;NVIDIA;8;7;96356
12;UHD Graphics 710;Intel;0;7;67494
13;Radeon HD 7950 Boost;AMD;3;18;82839
14;Iris Plus Graphics G4;Intel;0;5;62755
15;Radeon R7 350X OEM;AMD;4;17;45219
16;Radeon RX 460 1024SP;AMD;2;10;60873
17;Radeon R9 270X;AMD;2;16;63296
18;Radeon R7 360 896SP;AMD;2;17;74732
19;Radeon R7 350 640SP;AMD;2;20;82085
20;GeForce GTX 1060 5 GB;NVIDIA;5;21;71303
21;HD Graphics 5600;Intel;0;16;730
22;HD Graphics 510;Intel;0;15;87923
23;HD Graphics 5000;Intel;0;15;51734
24;Radeon R9 Nano;AMD;4;18;40625
25;Radeon RX 460;AMD;2;8;63264
26;GeForce GT 1030 GK107;NVIDIA;2;14;7611
27;Radeon HD 8670 OEM;AMD;2;12;55694
28;Radeon R5 330 OEM;AMD;2;15;98487
29;GeForce RTX 4070;NVIDIA;12;12;13461
30;Radeon R7 350X OEM;AMD;4;21;52648
31;Iris Graphics 5100;Intel;0;17;43740
32;GeForce RTX 2080 SUPER;NVIDIA;8;6;84610
33;Radeon HD 7950 Monica BIOS 2;AMD;3;13;26825
34;GeForce RTX 3050 8 GB;NVIDIA;8;9;51378
35;Iris Xe Graphics 80EU;Intel;0;4;12995
36;HD Graphics P3000;Intel;0;8;38020
37;Iris Plus Graphics 650;Intel;0;10;76187
38;GeForce GTX 1660 Ti;NVIDIA;6;10;39760
39;Radeon R9 390 X2;AMD;8;16;26901
40;Radeon R7 370;AMD;2;15;98467
41;GeForce RTX 3070 Ti;NVIDIA;8;5;16868
42;Radeon R9 295X2;AMD;4;5;6489
43;Radeon Pro SSG;AMD;16;15;51280
44;HD Graphics 615;Intel;0;12;34000
45;HD Graphics 5300;Intel;0;6;55986
46;GeForce RTX 2060 12 GB;NVIDIA;12;12;38982
47;GeForce GTX 1070 Ti;NVIDIA;8;10;1197
48;GeForce RTX 3060 Ti GA103;NVIDIA;8;9;44856
49;HD Graphics 5600;Intel;0;11;74159
50;Radeon R9 285;AMD;2;5;94715
51;Radeon Pro V340;AMD;16;15;73171
52;Radeon R9 285X;AMD;3;16;37973
53;Radeon R7 350X OEM;AMD;4;13;8907
54;Radeon HD 7870 XT;AMD;2;7;48721
55;GeForce GTX 950 OEM;NVIDIA;4;14;94688
56;Radeon R7 350 OEM;AMD;2;;80091
57;Radeon R9 290X;AMD;4;9;25325
58;Radeon HD 8950 OEM;AMD;3;13;68259
59;Iris Pro Graphics P555;Intel;0;12;10834
60;HD Graphics 500;Intel;0;5;31787
61;Radeon R7 260;AMD;2;6;14588
62;Radeon HD 8570 OEM;AMD;2;11;32225
63;GeForce RTX 3050 4 GB;NVIDIA;4;14;79857
64;Iris Pro Graphics 5200;Intel;0;21;7280
65;Radeon Pro V7300X;AMD;8;5;18608
66;Radeon HD 7950;AMD;3;19;60840
67;Radeon RX 470;AMD;4;7;38477
68;Radeon R9 370X;AMD;2;15;64046
69;GeForce RTX 4080 12 GB;NVIDIA;12;19;27750
70;HD Graphics 5600;Intel;0;11;89974
71;Radeon Vega Frontier Edition Watercooled;AMD;16;10;16992
72;Iris Graphics 540;Intel;0;17;2700
73;Iris Xe Graphics 96EU;Intel;0;8;77401
74;GeForce RTX 4090 Ti;NVIDIA;48;21;55987
75;TITAN RTX;NVIDIA;24;;7752
76;Radeon HD 7870 GHz Edition;AMD;2;18;85876
77;Iris Graphics 6100;Intel;0;16;29478
78;GeForce GTX 1060 6 GB 9Gbps;NVIDIA;6;12;23088
79;GeForce GTX 1070 GDDR5X;NVIDIA;8;;66010
80;GeForce GTX 960;NVIDIA;2;13;27417
81;Radeon R9 290;AMD;4;18;80232
82;Radeon Pro V7300X;AMD;8;17;1288
83;Radeon Pro V340;AMD;16;8;42914
84;HD Graphics 520;Intel;0;14;60250
85;GeForce GTX 1060 5 GB;NVIDIA;5;;4983
86;Radeon HD 7970;AMD;3;16;84221
87;Iris Xe Graphics G4;Intel;0;4;17204
88;Radeon R9 FURY X2;AMD;4;7;8640
89;UHD Graphics 770;Intel;0;21;61936
90;Radeon Pro V340;AMD;16;11;67150
91;Iris Graphics 550;Intel;0;11;20165
92;GeForce GTX 1060 8 GB GDDR5X;NVIDIA;8;12;96096
93;Radeon R7 350;AMD;2;20;92064
94;UHD Graphics 750;Intel;0;14;70144
95;Radeon R9 360 OEM;AMD;2;12;50108
96;Iris Pro Graphics 6200;Intel;0;20;7137
97;Radeon RX 460;AMD;2;11;40959
98;UHD Graphics G7;Intel;0;12;33012
99;GeForce RTX 4090 Ti;NVIDIA;48;5;98290
100;Radeon R9 Nano;AMD;4;4;37331
101;Radeon RX 460;AMD;2;4;57005
102;HD Graphics 515;Intel;0;18;62808
103;Radeon HD 8670 OEM;AMD;2;7;37249
104;GeForce RTX 4060 Ti;NVIDIA;10;19;67460
105;GeForce GTX 1050;NVIDIA;2;15;74008
106;GeForce RTX 3050 4 GB;NVIDIA;4;14;94750
107;Radeon Pro WX 4100;AMD;4;12;56671
108;GeForce GTX 1650 TU116;NVIDIA;4;21;65233
109;Radeon R9 390X;AMD;8;9;933
110;GeForce RTX 2080 SUPER;NVIDIA;8;12;78782
111;Radeon R7 240 OEM;AMD;2;19;56937
112;GeForce RTX 3090;NVIDIA;24;14;61307
113;Radeon R9 380 OEM;AMD;4;10;94817
114;GeForce RTX 3070 Ti;NVIDIA;8;11;50511
115;Radeon HD 8870 OEM;AMD;2;15;29437
116;Radeon HD 7970 X2;AMD;3;17;86153
117;Iris Xe Graphics 96EU;Intel;0;18;75657
118;GeForce GT 1010 DDR4;NVIDIA;2;6;61364
119;Radeon Pro W6800;AMD;32;17;74815
120;Iris Plus Graphics 655;Intel;0;7;17776
121;Radeon R9 FURY;AMD;4;6;91614
122;GeForce RTX 3060;NVIDIA;12;16;76661
123;Radeon R7 350X OEM;AMD;4;20;72414
124;TITAN V CEO Edition;NVIDIA;32;8;35069
125;Radeon R5 330 OEM;AMD;2;;77268
126;GeForce RTX 3060 Ti;NVIDIA;8;15;96341
127;Radeon HD 8760 OEM;AMD;2;7;47400
128;GeForce GTX 1070 GDDR5X;NVIDIA;8;7;57906
129;GeForce RTX 3060 Ti GDDR6X;NVIDIA;8;6;30416
130;UHD Graphics 16EU;Intel;0;5;85150
131;GeForce RTX 3070;NVIDIA;8;8;48790
132;Iris Plus Graphics 650;Intel;0;18;83702
133;HD Graphics 4200;Intel;0;18;57405
134;UHD Graphics 710;Intel;0;21;40168
135;UHD Graphics G7;Intel;0;8;6276
136;GeForce GTX 1080 Ti 10 GB;NVIDIA;10;4;93481
137;GeForce RTX 3050 8 GB GA107;NVIDIA;8;16;86303
138;HD Graphics 4200;Intel;0;14;63877
139;HD Graphics P5700;Intel;0;14;61634
140;GeForce GTX 950 Low Power;NVIDIA;2;21;60527
141;HD Graphics 4200;Intel;0;5;14599
142;Radeon Pro Duo;AMD;4;7;81982
143;Iris Plus Graphics 655;Intel;0;6;42440
144;GeForce RTX 3060 Ti GA103;NVIDIA;8;11;68088
145;Radeon R5 240 OEM;AMD;2;15;31144
146;UHD Graphics 610;Intel;0;15;99373
147;UHD Graphics 770;Intel;0;;81556
148;Radeon R9 390 X2;AMD;8;10;55979
149;Radeon R9 Nano;AMD;4;20;10714
150;GeForce RTX 2080 Ti;NVIDIA;11;12;46072
151;GeForce RTX 3080 Ti 20 GB;NVIDIA;20;4;20941
152;GeForce RTX 3080;NVIDIA;10;9;86192
153;Radeon R9 380;AMD;2;9;74012
154;Iris Plus Graphics 645;Intel;0;15;3936
155;Radeon HD 7950 Boost;AMD;3;4;40349
156;Iris Graphics 6100;Intel;0;14;42764
157;Radeon Pro V320;AMD;16;19;95815
158;HD Graphics P4000;Intel;0;16;74617
159;GeForce RTX 4080 Ti;NVIDIA;20;17;27804
160;Radeon R9 390;AMD;8;5;26860
161;GeForce RTX 3090;NVIDIA;24;8;48925
162;HD Graphics 505;Intel;0;;18828
163;GeForce GTX 1080 11Gbps;NVIDIA;8;10;40201
164;Radeon R7 350X OEM;AMD;4;13;35360
165;Radeon Pro WX 2100;AMD;2;13;74478
166;Radeon HD 8970 OEM;AMD;3;18;17445
