id;memory;ram_stick_type;clock_speed
0;8;DDR2;333
1;8;DDR2;266
2;8;DDR4;667
3;4;DDR4;333
4;8;DDR2;667
5;32;DDR3;4400
6;8;DDR4;2400
7;32;DDR2;3600
8;2;DDR2;1066
9;2;DDR3;300
10;8;DDR1;300
11;8;DDR3;266
12;16;DDR1;3200
13;2;DDR3;3200
14;8;DDR2;4400
15;2;DDR3;333
16;8;DDR4;800
17;32;DDR4;3000
18;16;DDR3;1600
19;32;DDR3;533
20;8;DDR1;2933
21;4;DDR1;2666
22;16;DDR2;1333
23;32;DDR4;2666
24;32;DDR4;2666
25;8;DDR3;800
26;8;DDR2;667
27;2;DDR1;2933
28;16;DDR3;667
29;32;DDR3;266
30;16;DDR2;200
31;4;DDR4;667
32;4;DDR4;3600
33;4;DDR2;800
34;8;DDR1;2933
35;32;DDR2;300
36;16;DDR4;3600
37;2;DDR2;1333
38;4;DDR1;3200
39;16;DDR3;533
40;16;DDR3;2933
41;2;DDR2;2400
42;8;DDR2;3200
43;8;DDR2;400
44;4;DDR1;4400
45;4;DDR1;1066
46;4;DDR2;3600
47;8;DDR1;1600
48;4;DDR1;2400
49;4;DDR1;1600
50;2;DDR3;266
51;8;DDR1;400
52;4;DDR3;533
53;16;DDR1;3000
54;2;DDR1;3200
55;2;DDR4;2933
56;32;DDR4;200
57;16;DDR1;2400
58;32;DDR3;1000
59;16;DDR1;1333
60;4;DDR1;1333
61;8;DDR3;200
62;2;DDR3;200
63;2;DDR2;1000
64;8;DDR4;3000
65;8;DDR3;800
66;8;DDR1;667
67;32;DDR3;800
68;4;DDR3;3200
69;2;DDR2;266
70;32;DDR2;200
71;32;DDR3;1333
72;4;DDR3;800
73;8;DDR3;1000
74;2;DDR1;2400
75;16;DDR3;533
76;2;DDR1;800
77;16;DDR1;200
78;32;DDR4;3600
79;4;DDR4;266
80;16;DDR3;2933
81;32;DDR4;2666
82;8;DDR1;2666
83;16;DDR2;1066
84;4;DDR1;266
85;32;DDR3;4000
86;16;DDR1;2666
87;16;DDR2;400
88;16;DDR4;300
89;4;DDR1;667
90;8;DDR1;3600
91;8;DDR2;266
92;16;DDR1;533
93;16;DDR4;800
94;2;DDR1;1600
95;16;DDR2;4000
96;4;DDR1;533
97;32;DDR2;333
98;32;DDR2;667
99;16;DDR4;2933
100;4;DDR1;533
101;16;DDR3;800
102;4;DDR1;4400
103;2;DDR4;1000
104;32;DDR1;800
105;32;DDR2;800
106;8;DDR4;2400
107;2;DDR4;2933
108;32;DDR1;800
109;2;DDR3;3600
110;16;DDR3;2400
111;4;DDR4;266
112;32;DDR2;800
113;4;DDR3;1000
114;8;DDR2;2666
115;8;DDR1;300
116;8;DDR4;533
117;32;DDR4;667
118;8;DDR1;1333
119;2;DDR1;4000
120;8;DDR2;300
121;8;DDR2;1600
122;16;DDR4;667
123;8;DDR3;4000
124;8;DDR2;266
125;4;DDR1;3200
126;2;DDR4;300
127;2;DDR1;3200
128;8;DDR2;1000
129;16;DDR2;800
130;4;DDR4;2933
131;32;DDR2;800
132;2;DDR1;2933
133;32;DDR2;1000
134;32;DDR3;1333
135;16;DDR3;4400
136;8;DDR1;2666
137;8;DDR1;1600
138;8;DDR2;3200
139;32;DDR3;1000
140;2;DDR4;333
141;2;DDR2;4000
142;2;DDR2;533
143;2;DDR2;333
144;4;DDR1;1333
145;2;DDR2;3200
146;2;DDR4;800
147;2;DDR1;3000
148;8;DDR3;667
149;8;DDR3;533
150;32;DDR2;333
151;4;DDR2;533
152;16;DDR1;800
153;8;DDR2;4000
154;2;DDR3;266
155;4;DDR3;1333
156;16;DDR3;266
157;4;DDR3;533
158;32;DDR3;3000
159;16;DDR3;1600
160;4;DDR4;4000
161;8;DDR1;2933
162;8;DDR3;3200
163;4;DDR4;333
164;2;DDR3;1600
165;4;DDR1;667
166;8;DDR1;200
167;2;DDR2;2400
168;8;DDR4;266
169;2;DDR1;4400
170;2;DDR4;266
171;4;DDR2;533
172;8;DDR2;2666
173;16;DDR3;2666
174;4;DDR4;3200
175;2;DDR2;533
176;16;DDR1;3600
177;16;DDR1;1066
178;8;DDR3;533
179;32;DDR1;1333
180;8;DDR2;1333
181;8;DDR4;1066
182;16;DDR4;2400
183;8;DDR4;2400
184;16;DDR3;4000
185;2;DDR2;800
186;2;DDR1;4000
187;2;DDR1;2400
188;2;DDR2;2666
189;8;DDR1;4400
190;8;DDR4;300
191;32;DDR1;200
192;16;DDR3;3600
193;16;DDR2;1600
194;16;DDR3;3000
195;2;DDR4;1000
196;2;DDR3;1333
197;32;DDR1;1333
198;8;DDR4;800
199;16;DDR4;1066
200;2;DDR2;533
201;8;DDR4;2666
202;16;DDR3;400
203;16;DDR3;667
204;32;DDR3;200
205;4;DDR1;533
206;4;DDR2;2933
207;32;DDR1;1000
208;16;DDR1;2933
209;4;DDR1;1000
210;16;DDR1;333
211;16;DDR3;1000
212;16;DDR1;333
213;2;DDR3;800
214;2;DDR4;800
215;16;DDR4;300
216;32;DDR2;200
217;16;DDR1;1066
218;32;DDR4;2933
219;4;DDR4;800
220;2;DDR3;333
221;32;DDR2;200
222;16;DDR4;3200
223;8;DDR2;3000
224;32;DDR1;800
225;2;DDR3;2400
226;2;DDR4;3200
227;2;DDR4;2666
228;16;DDR2;800
229;32;DDR2;4000
230;32;DDR4;200
231;2;DDR1;3600
232;16;DDR3;3200
233;4;DDR4;1333
234;4;DDR2;1066
235;32;DDR4;2666
236;16;DDR1;266
237;32;DDR3;800
238;16;DDR1;2933
239;8;DDR3;533
240;2;DDR4;400
241;2;DDR3;4000
242;32;DDR4;1000
243;2;DDR4;2400
244;4;DDR1;333
245;32;DDR3;3200
246;32;DDR4;2400
247;4;DDR4;266
248;8;DDR2;400
249;8;DDR3;800
250;32;DDR2;300
251;2;DDR2;1066
252;32;DDR2;2933
253;8;DDR2;1333
254;2;DDR1;1000
255;2;DDR4;3600
256;8;DDR1;1600
257;4;DDR3;2933
258;16;DDR3;667
259;4;DDR3;2400
260;2;DDR4;1066
261;4;DDR2;300
262;8;DDR1;3000
263;4;DDR2;333
264;32;DDR3;1333
265;16;DDR3;3000
266;16;DDR1;1066
267;8;DDR3;800
268;8;DDR4;400
269;16;DDR4;800
270;4;DDR4;2933
271;8;DDR1;4000
272;8;DDR2;2933
273;16;DDR3;800
274;2;DDR1;200
275;8;DDR1;400
276;4;DDR1;800
277;2;DDR4;533
278;8;DDR1;1333
279;32;DDR2;800
280;2;DDR2;1000
281;32;DDR2;4400
282;4;DDR3;266
283;32;DDR4;3600
284;2;DDR2;4000
285;4;DDR2;1066
286;16;DDR4;333
287;8;DDR2;333
288;16;DDR4;1000
289;8;DDR2;1000
290;8;DDR1;1000
291;2;DDR3;1066
292;4;DDR2;2400
293;32;DDR3;667
294;32;DDR1;400
295;2;DDR4;2933
296;32;DDR2;1333
297;8;DDR2;400
298;8;DDR3;800
299;8;DDR3;400
300;8;DDR3;400
301;4;DDR4;4000
302;4;DDR1;2400
303;4;DDR1;3000
304;8;DDR1;800
305;32;DDR1;4400
306;4;DDR4;533
307;8;DDR4;800
308;32;DDR1;1600
309;16;DDR3;333
310;32;DDR3;1066
311;2;DDR2;800
312;8;DDR2;200
313;8;DDR1;266
314;16;DDR4;2933
315;32;DDR4;667
