software_id;computer_id
199340;60130
43567;34140
173685;57099
117952;5467
176963;39164
152315;44058
95939;24437
97639;6905
41993;76867
122579;71077
86293;55263
186098;88569
112420;16616
48600;42638
170584;21185
52620;10418
80186;11250
17089;84330
163302;65430
150055;38976
108631;17013
101201;85662
82457;45685
137993;75233
169876;41021
67699;93663
70608;13023
168691;65673
7877;9695
83966;6184
132943;40075
73135;75255
133568;7334
179026;74235
155747;53450
108504;52778
31921;55768
131869;60985
49811;85373
199827;58789
122144;57467
183561;22367
84665;12032
119423;85450
41504;64900
49866;27761
123031;73769
125603;63403
11723;54155
174962;46029
148663;57757
58146;30890
108672;6698
190372;38351
89141;71557
71557;79059
151078;74094
134632;47860
61713;20342
96591;35457
45444;17920
46522;18025
113183;85577
86904;86418
20737;45503
159719;8001
192425;19231
92217;1448
80163;69957
12134;50984
191607;13080
47883;24298
86107;56432
63360;92518
182883;99901
9781;33322
150412;10104
27257;38465
147370;79089
12372;20673
135492;16621
111366;62328
82991;83606
62079;85607
138084;19385
9396;26126
3918;4876
9359;30196
116372;2600
175331;35223
154554;27124
146199;67105
101261;93918
37237;16590
79701;42094
8752;25225
108101;81411
50624;90639
40133;81667
93790;39172
186225;19364
62756;39721
124834;25882
90928;31744
81757;15572
84355;57487
99938;23605
179754;98571
66509;85997
24777;48905
125311;70674
13824;9559
133490;8786
143915;64825
78778;20371
36223;29029
61570;24071
6521;6219
187966;13518
74659;39101
96990;92197
108483;35469
121426;43966
14254;84542
51939;89916
37073;473
154382;61607
31785;29385
64570;11410
80577;40524
187428;50764
154378;54954
36950;62466
113707;27566
78696;5455
98611;19059
78928;54026
79904;13312
70838;63746
164992;92905
88870;76079
106771;20141
112170;36937
111987;39813
115896;85628
100796;30037
92648;37309
79128;75267
90749;89893
164610;44881
8286;87173
109794;53428
104299;76548
130317;80284
149800;54326
13640;55306
199699;55846
176735;11571
3912;75120
181658;6129
21752;44858
59715;89452
7997;95172
184078;54497
171872;79700
146692;12855
70381;25878
54268;2896
69069;92535
68473;45346
91757;31499
103243;83704
173584;94048
150680;67460
92309;96977
99438;99305
114713;71105
107984;82934
148412;86437
1913;7453
183158;74977
13429;84614
124349;36559
13907;3654
35489;36253
141160;34741
115616;37946
146660;33722
38395;88786
60155;91987
120953;68125
169286;69688
469;21988
43295;88201
74253;60093
116551;90867
165560;19825
169112;24749
148047;32982
104489;48624
146984;49871
159158;31359
82127;91300
15115;65411
118950;43519
79983;17662
183645;84200
195295;82285
11052;73986
123096;63946
15741;28921
57368;33852
94275;63799
43986;36173
5103;66959
122627;74402
35050;4248
132812;59018
55270;64428
143651;74537
71382;97079
111614;13526
178877;18875
151237;91036
133847;89035
30752;35968
89099;8344
71892;57414
33930;49761
46774;33532
28651;11418
62885;59177
147069;6610
196252;68139
98927;64440
97768;38721
74498;11232
63003;44159
85971;18444
165081;28250
174743;19008
17582;49820
29844;32325
84917;53196
38429;34261
81475;60508
76323;21137
82727;88112
60809;57449
133193;62026
176425;74996
134958;87065
41690;26017
75523;80718
113417;59992
126346;96747
126491;93182
82119;42959
136253;18295
43349;72857
173986;72191
71713;42648
194792;55116
120868;28894
116480;86719
47394;49254
894;70619
63413;71728
120062;35578
179280;34640
161214;50518
32904;66902
157885;10660
170113;71421
59601;34910
91504;4391
112931;21730
79224;26200
68955;19647
82088;11909
6004;83139
166692;54859
110768;43452
42521;75386
57191;9577
57852;85942
101490;1525
22302;76887
83697;77173
52513;88742
185617;39149
119005;81179
20989;15349
133634;6144
153669;89604
156556;59423
92925;87720
177474;71428
93807;13828
11605;90495
98727;81327
126503;77699
196555;76604
93846;4755
126366;55703
192145;56791
121542;50999
99271;98673
107356;85190
22571;45699
185427;16349
164273;49289
78633;81015
88157;91405
44889;73928
84466;92258
96736;8700
79835;18431
82249;57417
16363;46406
155857;84329
186985;14032
63418;6737
167808;81443
90070;84396
197648;36214
71786;14548
57508;81665
90718;17939
138776;93151
72308;12724
42179;26820
25907;88505
176264;85188
140216;95605
158813;2141
62551;45336
133267;62911
135752;33527
186823;2520
156759;85999
52237;59680
97594;68433
120401;64628
38008;76537
141172;67767
60343;38025
43723;64330
185252;55119
188697;86320
45856;73757
89514;79332
152022;89318
140572;31742
52548;85515
46614;15649
120035;88951
154490;29106
49747;19323
33415;53945
12232;36656
148029;54222
105101;99413
103941;95620
57600;18910
158856;25690
175311;1319
103563;27117
107524;93119
39335;19792
168284;4628
183213;2443
193818;71803
164426;2576
185326;10350
7601;51739
27867;47608
11059;44247
66275;31057
152338;91836
136482;18416
48691;81590
179870;64092
82357;57337
69434;93161
94123;20190
149303;80393
9724;4368
23314;28004
197549;52154
27479;18188
25025;76736
142662;56621
185834;98998
31838;84362
18491;90692
14672;82577
91802;93355
95868;14642
142906;90480
193642;46158
73929;96106
56620;2761
47993;41969
198470;56691
107046;31413
102055;47821
130061;88276
66439;79008
15352;33354
195094;1032
14297;63531
136968;28664
12003;1899
73478;99671
23761;48225
173511;17354
129492;99954
103897;10685
81858;79798
95804;38698
127376;34278
52280;9068
105330;5535
167661;73549
84631;78546
139544;69450
197636;38524
35428;9867
62444;36438
67889;5979
87582;69585
138806;85998
28436;73650
23905;13638
26981;38674
76473;75583
45463;35986
66589;55660
19361;82424
21875;96484
36661;42961
133751;5192
76723;15428
162294;13862
126983;64553
68201;84808
84977;12337
30857;28910
39606;32091
131923;22649
5028;24961
151249;58070
122741;18272
39920;58736
118019;9309
55082;91666
22036;86358
38212;54321
82032;59086
165807;95690
82570;64691
1384;19266
79403;73804
65599;17568
102303;39936
51654;81035
62729;5520
52668;91925
19055;41312
177571;90107
91980;37478
36209;20977
139082;66645
59618;6108
79073;93146
51115;91145
71299;15917
150412;25577
53121;74913
14705;94013
187520;75925
25274;72556
82212;20007
31075;25552
53251;91635
70882;81651
23417;12670
13729;80367
154908;38493
56132;72897
69658;49162
66272;96361
157944;55984
102765;4201
83891;87240
142537;64174
79285;3583
106693;56928
33374;90419
149576;31932
45302;22309
121684;93002
189575;14474
116419;42867
15835;51132
138860;52025
52547;49725
104550;89547
24404;32800
158023;11828
38111;6090
198912;44022
11909;52600
101723;95719
99435;33704
97182;31501
145353;61659
149459;31998
60935;15960
191637;46864
89564;54544
13704;96433
181931;1847
140846;45983
73728;19534
73064;38218
128089;66394
150003;74867
68219;23331
155991;66844
80992;74628
28954;31375
121550;12745
71712;25316
93299;48551
170438;5452
5985;85721
37292;99843
99131;79097
75577;2563
187058;587
141485;40546
30441;56307
68740;93914
191929;77734
131165;81243
35235;62142
167618;17526
65940;34635
5037;67864
156857;80181
177103;28482
196983;52672
81572;72801
76478;66530
16881;65201
187890;38957
154829;70691
9630;15743
95597;82441
96087;92206
107234;11390
105033;99876
199898;20238
165402;29107
62838;15454
156108;6954
96975;76018
64866;87628
159322;64628
97254;67579
16080;567
130621;31679
58812;84739
56111;43794
129018;28188
70272;74277
3466;78249
20427;38977
70238;34612
38406;28626
40621;76292
179445;95618
47273;85887
39078;15835
134059;15191
152146;13286
28039;90977
199900;9004
117569;71820
169641;51560
129858;39704
142172;91185
172366;30341
156891;82270
8292;98893
75997;39912
128178;24344
171516;3730
90286;77488
73330;14546
151201;29325
168716;635
173801;2324
172880;25951
87496;73362
95219;23018
133245;69388
74890;96854
137946;69461
89208;84663
61761;68065
84416;2777
133829;32607
143192;21582
23842;73691
121532;89676
183534;20905
174936;14599
196166;79540
73364;77023
102172;71809
152179;89768
136002;80283
180828;3988
57308;12424
101990;3601
85371;50675
151237;7493
131172;51379
53942;52530
74573;36184
137109;23714
54779;78568
25247;68276
52817;75592
24813;96576
48371;36402
47354;13500
96648;3776
56062;85924
22957;4960
38870;58485
160921;6476
123886;38476
68727;70589
42661;63242
40831;87551
128385;81390
39308;69424
134490;64034
74314;56586
31739;43043
54198;20209
105550;54426
172862;31336
124488;76197
130861;95406
85125;67151
114223;60302
152746;83135
71818;25839
1337;78808
167387;27396
13657;14628
136317;73792
27342;97465
3922;64241
1221;34924
46778;59720
132996;41911
187409;43421
8901;92253
172479;44893
49502;54085
151171;56975
94533;45486
37028;86824
122426;39096
107697;9439
134583;9196
76440;9909
197281;94388
165778;150
176590;7264
156401;54142
116661;14244
29419;45474
127022;23005
130544;33937
43647;3802
