gpu_name,manufacturer,memory
HD Graphics,Intel,0
HD Graphics 2000,Intel,0
HD Graphics 3000,Intel,0
HD Graphics 4000,Intel,0
HD Graphics 4400,Intel,0
HD Graphics 4600,Intel,0
HD Graphics 510,Intel,0
HD Graphics 530,Intel,0
HD Graphics 610,Intel,0
HD Graphics 630,Intel,0
Iris Pro Graphics 5200,Intel,0
Iris Pro Graphics 6200,Intel,0
UHD Graphics,Intel,0
UHD Graphics 610,Intel,0
UHD Graphics 630,Intel,0
UHD Graphics 710,Intel,0
UHD Graphics 730,Intel,0
UHD Graphics 750,Intel,0
UHD Graphics 770,Intel,0
HD Graphics 4200,Intel,0
HD Graphics 5000,Intel,0
HD Graphics 515,Intel,0
HD Graphics 520,Intel,0
HD Graphics 5300,Intel,0
HD Graphics 5500,Intel,0
HD Graphics 5600,Intel,0
HD Graphics 6000,Intel,0
HD Graphics 615,Intel,0
HD Graphics 620,Intel,0
Iris Graphics 5100,Intel,0
Iris Graphics 540,Intel,0
Iris Graphics 550,Intel,0
Iris Graphics 6100,Intel,0
Iris Plus Graphics 640,Intel,0
Iris Plus Graphics 645,Intel,0
Iris Plus Graphics 650,Intel,0
Iris Plus Graphics 655,Intel,0
Iris Plus Graphics G4,Intel,0
Iris Plus Graphics G7,Intel,0
Iris Pro Graphics 580,Intel,0
Iris Xe Graphics 80EU,Intel,0
Iris Xe Graphics 96EU,Intel,0
Iris Xe Graphics G4,Intel,0
Iris Xe Graphics G7 80EU,Intel,0
Iris Xe Graphics G7 96EU,Intel,0
Iris Xe MAX Graphics,Intel,0
UHD Graphics 16EU,Intel,0
UHD Graphics 24EU,Intel,0
UHD Graphics 32EU,Intel,0
UHD Graphics 48EU,Intel,0
UHD Graphics 620,Intel,0
UHD Graphics 64EU,Intel,0
UHD Graphics G1,Intel,0
UHD Graphics G4,Intel,0
UHD Graphics G7,Intel,0
HD Graphics 400,Intel,0
HD Graphics 405,Intel,0
HD Graphics 500,Intel,0
HD Graphics 505,Intel,0
UHD Graphics 600,Intel,0
UHD Graphics 605,Intel,0
UHD Graphics 615,Intel,0
UHD Graphics 617,Intel,0
HD Graphics P3000,Intel,0
HD Graphics P4000,Intel,0
HD Graphics P4600,Intel,0
HD Graphics P4700,Intel,0
HD Graphics P530,Intel,0
HD Graphics P5700,Intel,0
Iris Pro Graphics P555,Intel,0
Iris Pro Graphics P580,Intel,0
Iris Pro Graphics P6300,Intel,0
