,1_select.sql,2_select.sql,3_select.sql,4_update.sql,5_delete.sql,6_insert.sql
0,2.121602773666382,3.1113767623901367,1.887061357498169,4.2069549560546875,6.820625066757202,2.5932998657226562
1,1.909165382385254,3.090486764907837,1.7737207412719727,2.445467472076416,4.251440763473511,2.5599029064178467
2,1.823868989944458,3.227825164794922,1.755295991897583,2.4348104000091553,4.521201133728027,2.4996497631073
3,2.0318145751953125,3.054677724838257,1.7597534656524658,2.4836032390594482,4.532293796539307,2.518186569213867
4,1.8302502632141113,3.0720672607421875,1.6563823223114014,2.3892133235931396,4.585065126419067,2.519838333129883
5,1.8174619674682617,2.9081966876983643,1.7447257041931152,2.561065435409546,4.477252721786499,2.3971667289733887
6,1.847031831741333,3.0480830669403076,1.7320761680603027,2.4525952339172363,4.31872820854187,2.574127197265625
7,1.7948493957519531,3.0651044845581055,2.0369796752929688,2.3477444648742676,4.465221643447876,2.572007656097412
8,1.7492001056671143,2.8702890872955322,1.833235502243042,2.4305636882781982,4.617425918579102,2.636030435562134
9,1.7824947834014893,3.1026439666748047,1.6864042282104492,2.4147675037384033,4.734663963317871,2.549433946609497
min,1.7492001056671143,2.8702890872955322,1.6563823223114014,2.3477444648742676,4.251440763473511,2.3971667289733887
max,2.121602773666382,3.227825164794922,2.0369796752929688,4.2069549560546875,6.820625066757202,2.636030435562134
avg,1.8815452456474304,3.054072101910909,1.79658309618632,2.726790428161621,4.8663320144017534,2.537736713886261
std,0.1298114599020343,0.1142596223098856,0.12483212356649492,0.6642273306459382,0.8848703276941878,0.07483900649393783
