,1_select.sql,2_select.sql,3_select.sql,4_update.sql,5_delete.sql,6_insert.sql
0,1.3701238632202148,2.3910024166107178,1.4328441619873047,2.013374090194702,3.290940284729004,2.8409552574157715
1,1.379929542541504,2.393524646759033,1.384152889251709,1.9151630401611328,3.3056681156158447,2.8075811862945557
2,1.3798882961273193,2.2450778484344482,1.3893208503723145,1.9214773178100586,3.235074043273926,2.8050854206085205
3,1.368471622467041,2.3534951210021973,1.3750650882720947,1.942992925643921,3.1736912727355957,2.841343641281128
4,1.367626667022705,2.3583481311798096,1.3615243434906006,2.02469801902771,3.2034993171691895,2.8154213428497314
5,1.3669309616088867,2.3586175441741943,1.3615329265594482,2.0022270679473877,3.2121686935424805,2.8478591442108154
6,1.3698973655700684,2.3579788208007812,1.368924617767334,1.9570958614349365,3.16591477394104,2.8239285945892334
7,1.3629467487335205,2.281553268432617,1.3828239440917969,2.0712828636169434,3.1605708599090576,2.821958303451538
8,1.361666202545166,2.3708252906799316,1.370739459991455,1.9668917655944824,3.1652772426605225,2.7992284297943115
9,1.361799716949463,2.35113525390625,1.3972947597503662,1.9971513748168945,3.1728334426879883,2.8156931400299072
min,1.361666202545166,2.2450778484344482,1.3615243434906006,1.9151630401611328,3.1605708599090576,2.7992284297943115
max,1.379929542541504,2.393524646759033,1.4328441619873047,2.0712828636169434,3.3056681156158447,2.8478591442108154
avg,1.3692397276560466,2.3416800697644553,1.384882628917694,1.983233352502187,3.2126564184824624,2.8221785028775535
std,0.006839497651340498,0.051636886232361776,0.024094684512944223,0.053493098111176786,0.05551042398141085,0.017531773520331022
