,1_select.sql,2_select.sql,3_select.sql,4_update.sql,5_delete.sql,6_insert.sql
0,1.4949240684509277,2.3680264949798584,1.32600998878479,3.058824062347412,5.129453420639038,1.7210195064544678
1,1.3123812675476074,2.340667724609375,1.2322275638580322,1.8701355457305908,3.380525588989258,1.6671805381774902
2,1.3093726634979248,2.311145544052124,1.3441650867462158,1.877187967300415,3.373600482940674,1.6708190441131592
3,1.3261492252349854,2.3301429748535156,1.3320977687835693,1.8756299018859863,3.375842332839966,1.6664917469024658
4,1.3206276893615723,2.3554816246032715,1.3408706188201904,1.8762311935424805,3.3785746097564697,1.4913794994354248
5,1.3290331363677979,2.3494203090667725,1.336289405822754,1.868821620941162,3.3748161792755127,1.6706042289733887
6,1.325150966644287,2.244619369506836,1.337608814239502,1.873380184173584,3.377777338027954,1.6635055541992188
7,1.3108365535736084,2.3409812450408936,1.2944190502166748,1.8715474605560303,3.3824949264526367,1.6790070533752441
8,1.2801930904388428,2.3678677082061768,1.3313078880310059,1.8800408840179443,3.382774829864502,1.660156011581421
9,1.3167643547058105,2.346958875656128,1.3530733585357666,1.8805382251739502,3.363532543182373,1.6743650436401367
min,1.2801930904388428,2.244619369506836,1.2322275638580322,1.868821620941162,3.363532543182373,1.4913794994354248
max,1.4949240684509277,2.3680264949798584,1.3530733585357666,3.058824062347412,5.129453420639038,1.7210195064544678
avg,1.341712514559428,2.3306631445884705,1.317780872186025,2.0716652274131775,3.6676981846491494,1.6480772693951924
std,0.07019057425661061,0.04163770633457545,0.04092297578973569,0.4414870340537743,0.653744358509286,0.07274947239038228
