,1_select.sql,2_select.sql,3_select.sql,4_update.sql,5_delete.sql,6_insert.sql
0,1.2211596965789795,2.394495725631714,1.4073054790496826,2.00382924079895,3.2690327167510986,2.198589563369751
1,1.2179913520812988,2.3583486080169678,1.374504804611206,1.9284789562225342,3.2162368297576904,2.184937000274658
2,1.2131094932556152,2.188220500946045,1.3990697860717773,1.9323501586914062,3.204535961151123,2.2009382247924805
3,1.2180907726287842,2.33197283744812,1.3619170188903809,1.9312646389007568,3.20219087600708,2.224733591079712
4,1.220093011856079,2.388310194015503,1.3870062828063965,1.9267570972442627,3.2271828651428223,2.1806156635284424
5,1.2132623195648193,2.3582913875579834,1.4054205417633057,1.9406929016113281,3.1887102127075195,2.175034284591675
6,1.2120330333709717,2.352386474609375,1.365333080291748,1.9300522804260254,3.1836977005004883,2.221085548400879
7,1.207643747329712,2.265594959259033,1.3719203472137451,1.920649766921997,3.2015268802642822,2.1941380500793457
8,1.2072691917419434,2.3330867290496826,1.4026679992675781,1.9259984493255615,3.2746400833129883,2.1890952587127686
9,1.2085468769073486,2.3523712158203125,1.384570598602295,1.9358444213867188,3.1748883724212646,2.182145833969116
min,1.2072691917419434,2.188220500946045,1.3619170188903809,1.920649766921997,3.1748883724212646,2.175034284591675
max,1.2211596965789795,2.394495725631714,1.4073054790496826,2.00382924079895,3.2746400833129883,2.224733591079712
avg,1.2139690319697063,2.3254829049110413,1.385744869709015,1.941699743270874,3.216014246145884,2.195923407872518
std,0.005309216036654798,0.06978811974407256,0.017448491312395356,0.028311102794090517,0.03595713662178246,0.017778299507322716
