,before,bm,bt,fbm,fbt
0,7.999560594558716,0.3815436363220215,0.4892134666442871,0.4106738567352295,0.4844381809234619
1,1.8645071983337402,0.3457047939300537,0.48572397232055664,0.40221738815307617,0.48476409912109375
2,1.9063999652862549,0.36963844299316406,0.47011256217956543,0.40619707107543945,0.4869375228881836
3,1.9235484600067139,0.3525049686431885,0.49692606925964355,0.407926082611084,0.48633480072021484
4,1.9604969024658203,0.3462250232696533,0.4816155433654785,0.4003777503967285,0.4871811866760254
5,2.4560046195983887,0.35680174827575684,0.4723803997039795,0.38656091690063477,0.4797027111053467
6,2.6303460597991943,0.3459157943725586,0.49544215202331543,0.40737223625183105,0.48297858238220215
7,1.9283878803253174,0.3611929416656494,0.4903867244720459,0.38601136207580566,0.530386209487915
8,1.9021475315093994,0.3547675609588623,0.49433350563049316,0.40992140769958496,0.49056315422058105
9,1.9089674949645996,0.373842716217041,0.4944288730621338,0.4173088073730469,0.4738729000091553
min,1.8645071983337402,0.3457047939300537,0.47011256217956543,0.38601136207580566,0.4738729000091553
max,7.999560594558716,0.3815436363220215,0.49692606925964355,0.4173088073730469,0.530386209487915
avg,3.0287028749783835,0.3596155047416687,0.48646682500839233,0.40315725406010944,0.4909515380859375
